emotion,text
joy,During the period of falling in love each time that we met and Ã¡ especially when we had not met for a long time.
fear,When I was involved in a traffic accident.
anger,When I was driving home after  several days of hard work there Ã¡ was a motorist ahead of me who was driving at 50 km/hour and Ã¡ refused despite his low speeed to let me overtake.
sadness,When I lost the person who meant the most to me.
joy,When I got a letter offering me the Summer job that I had applied Ã¡ for.
fear,When I was going home alone one night in Paris and a man came up Ã¡ behind me and asked me if I was not afraid to be out alone so Ã¡ late at night.
anger,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.
sadness,When my friends did not ask me to go to a New Year's party Ã¡ with them.
joy,On days when I feel close to my partner and other friends.  Ã¡ When I feel at peace with myself and also experience a close Ã¡ contact with people whom I regard greatly.
fear,Every time I imagine that someone I love or I could contact a Ã¡ serious illness even death.
anger,When I had been obviously unjustly treated and had no possibility Ã¡ of elucidating this.
sadness,When I think about the short time that we live and relate it to Ã¡ the periods of my life when I think that I did not use this Ã¡ short time.
joy,After my girlfriend had taken her exam we went to her parent's Ã¡ place.
fear,When for the first time I realized the meaning of death.
anger,When a car is overtaking another and I am forced to drive off the Ã¡ road.
sadness,When I recently thought about the hard work it takes to study and  Ã¡ how one wants to try something else.  When I read a theoretical Ã¡ book in English that I did not understand.
joy,When I pass an examination which I did not think I did well.
fear,When one has arranged to meet someone and that person arrives Ã¡ late in the meantime one starts thinking about all that could Ã¡ have gone wrong e.g a traffic accident.
anger,When one is unjustly accused of something one has not done.
sadness,When one's studies seem hopelessly difficult and uninteresting.
joy,Passing an exam I did not expect to pass.
fear,When I climbed up a tree to pick apples.  The angle of the ladder Ã¡ I was on did not enable me to get high enough.  This implied Ã¡ that the ladder was not very stable.
anger,Friends who torture animals.
sadness,Same as in anger.
joy,When I had my children.
fear,When my 2 year old son climbed up and sat on the 7th floor Ã¡ balcony with his legs hanging out.  He was holding on tightly to Ã¡ the upper railing of the balcony but he could have easily lost Ã¡ his balance when he sat down.
anger,When my partner was attacked and lost three teeth.
sadness,When I see children on T.V from areas devastated by drought and Ã¡ war.
joy,When my child was born.
fear,It was winter/spring and the ice was melting.  I was far out on a Ã¡ jetty and I poked the ice with a long branch to try and break it. Ã¡  The branch went through the ice and I fell in the water closed Ã¡ in over my head.
anger,Unjust accusations directed at me and my way of acting by Ã¡ someone close to me.
sadness,Failing an examination.
joy,When I saw a person I had not seen for a long time.
fear,When as a child I was nearly knocked down by a car.
anger,When I heard on the radio that the football match in Belgium had Ã¡ ended in a catastrophe and several people had died.  I could not Ã¡  understand how normal people could behave in such a way.
sadness,When I feel lonely perhaps because I have to study a lot and I Ã¡ am shut up in my appartment.  Nothing happens in particular Ã¡ because there is no time for anything else.
joy,When I was accepted for a course on finance and accounting.
fear,A bus drove over my right leg.  The event itself was not very Ã¡ frightening but when I had to wait in the emergency ward for Ã¡ three hours and then my leg began to swell I was frightened.
anger,At my Summer job nobody looked after me in particular and I had Ã¡ to learn all on my own.
sadness,When I was not accepted as a student in finance and accounting.
joy,Passed an exam by 2 points.
fear,In a cottage in a large forest I was alone for a while in the Ã¡ dark.
anger,When I spoke to Jan-Erik WikstrÃ·m on the telephone.
sadness,Railway station good-bye.
joy,I passed an exam that I was absolutely certain that I had failed.
fear,On the way back from Denmark with a friend on a small yatch Ã¡ there was a storm and my friend was blown overboard;  I was very Ã¡ scared till I managed to get him back onboard.
anger,I locked myself out.
sadness,I missed the last tram home and had to walk in the pouring rain.
joy,When I won a trip to Greece in a competition.
fear,When I am out in the dark and a suspicious looking character Ã¡ comes towards me.
anger,At work when an elderly man complained unjustifiably about me and Ã¡ distrusted me.
sadness,When I had not understood anything after a lecture.
joy,At a friend's birthday party with some of my closest friends.  It Ã¡ was all very pleasant and one could say that I was happy to have Ã¡ such good friends.
fear,On the way home one Friday night in the heavy rain the car Ã¡ acquaplanned.  I lost contact with the road surface for a few Ã¡ seconds.
anger,Mad at my dad.
sadness,A case of unrequited love.
joy,I felt very happy when I won the football pools.
fear,When I flew from Athens to Copenhagen after a holiday.  The plane Ã¡ was caught in a storm and it began to shake and I thouhght that Ã¡ we were going to crash.
anger,When someone stole my bike.
sadness,"When I saw the list of books to read for an acccouting course I Ã¡ thought \\ Oh God how will I ever manaage it!\\"""""
joy,When the whole family gets together for a one week holiday.  Ã¡ Everybody feels free and the trip is well planned.  It works out Ã¡ well and we enjoy ourselves.
fear,When I could not find my 2 year old daughter.  I ran and looked Ã¡ for her everywhere and could not find her.  (I finally found her Ã¡ she had gone to bed to sleep)
anger,When friends try to put me down or hurt me.
sadness,Marriage crises.  Boredom.
joy,When I passed the first examination that I had to repeat.
fear,When I drove to Stockholm for the first time and drove off the Ã¡ Stora Hissingen road at the wrong exit.
anger,When my boyfriend went away for a month long holiday without me.
sadness,Last year when I worked during the Summer holidays and studied Ã¡ at the same time for an examination I had to repeat; my boyfriend Ã¡ went to Greece for a holiday for a month.
joy,The day I was told that I had been accepted as a student of Ã¡ economics.
fear,While taking a short cut through the Vasa park I was surrounded Ã¡ by three people who tried to steal my money.  I was scared and Ã¡ was saved only by the appearance of other people.
anger,At a restaurant I observed how the gypsies tried to get money by Ã¡ cheating the foreigners i.e non Swedish speaking.  My anger had Ã¡ nothing to do with hatred against foreigners but it was an Ã¡ expression of the anger I feel when I see people being used .
sadness,At the begining of a new course one is afraid of encountering Ã¡ problems one can not manage.  Thoughts revolve around failing Ã¡ the subject and the consequences it would have for the future.
joy,When I found out that I had passed the last two exams by a Ã¡ margin of three marks.
fear,When my father was ill and was waiting for the results of his tests.
anger,When I got caught in the pouring rain last Thursday and did not Ã¡ have a raincoat on me.
sadness,When I failed an exam.
joy,When I gave birth to my son and saw that he was alive and that I Ã¡ had managed it well.  He was born a month too early with a Ã¡ malfunctioning lung.  This happened a year ago.
fear,When I found out that my father had lung cancer and they did not Ã¡ know how long he would live.
anger,When a colleague asked me for help at work despite the fact Ã¡ that he had more time to do it than I had.
sadness,When I did not get the salary increase that I had been expecting Ã¡ and understood how little one's work was appreciated.
joy,New year's eve 1983/1984 I met my girlfriend.  We stood on the Ã¡ steps outside her parents home and I kissed her for the Ã¡ first time.
fear,When I was stopped by plain clothes policemen because the car I Ã¡ was driving had overturned on the Avenue.  I had been driving too Ã¡ fast and I was afraid when I was stopped questionned and then Ã¡ toild to go.  The situation ended happily since there were no Ã¡ consequences.
